ID,SN,lng,lat
NSSFHN00470,E36AD9,113.9798431,22.63353539
NSSFHN00471,EZQ478,113.979141,22.634357
NSSFHN00472,TU9X09,113.9789352,22.63506126
NSSFHN00473,345YBK,113.9784241,22.63637543
NSSFHN00474,28P8ET,113.9417267,22.56228828
NSSFHN00475,YQ7X99,113.9718552,22.59137726
NSSFHN00476,PGE716,113.9776459,22.63665009
NSSFHN00477,DSA378,113.97686,22.63667488
NSSFHN00478,1Q93VS,113.9757767,22.63628006
NSSFHN00479,RE599P,113.974823,22.63570213
NSSFHN00480,VEL460,113.9737692,22.63569351
NSSFHN00481,91T5JQ,113.9454575,22.56235504
NSSFHN00482,49FQ6X,113.9727361,22.6358186
NSSFHN00483,155PYM,113.9707184,22.63522339
NSSFHN00484,2S93RR,113.9715347,22.63569832
NSSFHN00485,WRZ824,113.9697418,22.63469315
NSSFHN00486,X0GF33,113.9727707,22.5903759
NSSFHN00487,5JJD33,113.9466934,22.55525398
NSSFHN00488,ADP801,113.9685898,22.6341114
NSSFHN00489,U23W4S,113.9665451,22.63455963
NSSFHN00490,T5AZ42,113.9677963,22.63394737
NSSFHN00491,1LJ15U,113.9725647,22.59091759
NSSFHN00492,GZ3Q50,113.9662247,22.63481712
NSSFHN00493,S08X6D,113.9654149,22.63540997
NSSFHN00494,9GJJ98,113.9634387,22.6369694
NSSFHN00495,1PCS76,113.9628754,22.63778687
NSSFHN00496,JG4H19,113.9622439,22.63862888
NSSFHN00497,N947MJ,113.9616852,22.63945961
NSSFHN00498,27W9JS,113.9614444,22.6412223
NSSFHN00499,VL74A8,113.9585698,22.6430902
NSSFHN00500,4WB0S4,113.957065,22.642486
NSSFHN00501,7S5V9W,113.9563217,22.64205742
NSSFHN00502,DPW120,113.9550858,22.64140701
NSSFHN00503,2F34JK,113.9544107,22.64065526
NSSFHN00504,WUQ297,113.953946,22.639721
NSSFHN00505,6R98EY,113.953563,22.638931
NSSFHN00506,UAX743,113.9739761,22.59031677
NSSFHN00507,N106PR,113.9742279,22.59017944
NSSFHN00508,11D0UW,113.9737015,22.59100533
NSSFHN00509,R22F4U,113.9718704,22.59194183
NSSFHN00510,JX605V,113.9750443,22.59059715
NSSFHN00511,58CUS8,113.9750443,22.59059715
NSSFHN00512,Y19P9Z,113.9741211,22.59155083
NSSFHN00513,29P1NL,113.9728699,22.59212303
NSSFHN00514,91FL5T,113.9732285,22.58896446
NSSFHN00515,98RJ6D,113.9734344,22.58973122
NSSFHN00516,B38L6R,113.9715042,22.59123802
NSSFHN00517,5Q4P6M,113.9845123,22.62113571
NSSFHN00518,RZ392B,113.9611816,22.53723907
NSSFHN00519,48NA6F,113.9839096,22.62242889
NSSFHN00520,S2S2A8,113.9834366,22.62344742
NSSFHN00521,P3MQ81,113.9830093,22.6245327
NSSFHN00522,9TG5B3,113.9836044,22.62488747
NSSFHN00523,DH00X0,113.986496,22.62457657
NSSFHN00524,A87K6Q,113.9903488,22.62946892
NSSFHN00525,YX064H,113.9903336,22.62896729
NSSFHN00526,RP3W14,113.9898453,22.62757874
NSSFHN00527,9SJ2Z3,113.9611893,22.53668022
NSSFHN00528,1G83MB,113.9909897,22.6272049
NSSFHN00529,L4AS02,113.9914627,22.62619781
NSSFHN00530,J6BK14,113.9887009,22.62789536
NSSFHN00531,6QKF12,113.9776917,22.63716507
NSSFHN00532,DPY635,113.9774323,22.63667679
NSSFHN00533,6B2PN5,113.976387,22.63751221
NSSFHN00534,0DSN08,113.9766388,22.63723183
NSSFHN00535,0EP77A,113.9763565,22.63881302
NSSFHN00536,W856TR,113.9758987,22.63925362
NSSFHN00537,63FA1M,113.9765015,22.63802338
NSSFHN00538,6JS0J4,113.9769287,22.6385498
NSSFHN00539,510MPC,113.9784012,22.63488007
NSSFHN00540,TM92U1,113.9754639,22.63532448
